cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-03,79,1,617,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2024-01-17,93,3,617,6,6uge,6uge3,6uge3u
615403000024,24,1,1355205673000024,2001,1,201,TC Aplicação Dessecação da Cultura - Soja,herbicida,2024-02-10,117,6,617,6,6uge,6uge3,6uge3u
573788000013,13,3,50221267000013,3,46,16,PLANTIO DE SOJA SEM ADUBO,outros,2023-09-30,0,39,618,6,6v85,6v851,6v851r
615395000024,24,1,1355205673000024,2001,1,201,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-10-18,0,42,618,6,6uge,6uge3,6uge3u
42224560000024,24,1,1355205673000024,2001,1,201,Plantio Mecanizado - Soja,plantio,2024-10-18,0,42,618,6,6uge,6uge3,6uge3u
615397000024,24,1,1355205673000024,2001,1,201,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-11-26,39,48,618,6,6uge,6uge3,6uge3u
615397000024,24,1,1355205673000024,2001,1,201,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-12,55,50,618,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-13,56,50,618,6,6uge,6uge3,6uge3u
615401000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-19,62,51,618,6,6uge,6uge3,6uge3u
615398000024,24,1,1355205673000024,2001,1,201,T. Culturais - Controle de Lagartas - Soja,inseticida,2024-12-20,63,51,618,6,6uge,6uge3,6uge3u
